val_loss,val_acc,epoch,step,train_loss_epoch,train_acc_epoch,train_loss_step,train_acc_step
0.15906639397144318,0.9166666865348816,0,6,,,,
,,0,6,0.28437700867652893,0.8660714030265808,,
0.07205729931592941,0.9666666388511658,1,13,,,,
,,1,13,0.048199962824583054,0.9821428656578064,,
0.06805317848920822,0.9666666388511658,2,20,,,,
,,2,20,0.012435675598680973,1.0,,
0.06728988140821457,0.9833333492279053,3,27,,,,
,,3,27,0.008439658209681511,1.0,,
0.07063712924718857,0.9666666388511658,4,34,,,,
,,4,34,0.008454333059489727,1.0,,
0.07123339921236038,0.9833333492279053,5,41,,,,
,,5,41,0.0033184285275638103,1.0,,
0.07264847308397293,0.9833333492279053,6,48,,,,
,,6,48,0.00333947385661304,1.0,,
,,7,49,,,0.004142120014876127,1.0
0.07340855896472931,0.9833333492279053,7,55,,,,
,,7,55,0.002736747730523348,1.0,,
0.07139026373624802,0.9833333492279053,8,62,,,,
,,8,62,0.002784942975267768,1.0,,
0.07437476515769958,0.9833333492279053,9,69,,,,
,,9,69,0.003513442585244775,1.0,,
0.07313703745603561,0.9833333492279053,10,76,,,,
,,10,76,0.0009829953778535128,1.0,,
0.06892458349466324,0.9833333492279053,11,83,,,,
,,11,83,0.0014422403182834387,1.0,,
0.07020428031682968,0.9833333492279053,12,90,,,,
,,12,90,0.002235701074823737,1.0,,
0.07075032591819763,0.9833333492279053,13,97,,,,
,,13,97,0.0007433199207298458,1.0,,
,,14,99,,,0.00029533772612921894,1.0
0.0694543793797493,0.9833333492279053,14,104,,,,
,,14,104,0.0010816216235980392,1.0,,
0.06789009273052216,0.9666666388511658,15,111,,,,
,,15,111,0.001301543670706451,1.0,,
0.06789790093898773,0.9833333492279053,16,118,,,,
,,16,118,0.001420663669705391,1.0,,
0.069931760430336,0.9833333492279053,17,125,,,,
,,17,125,0.0011765336384996772,1.0,,
0.07141079753637314,0.9833333492279053,18,132,,,,
,,18,132,0.0014922183472663164,1.0,,
0.06741965562105179,0.9833333492279053,19,139,,,,
,,19,139,0.0028505888767540455,1.0,,
